temperature,pump cooler freq,concentration,light intensity
 temperature, pump cooler freq, concentration, light intensity
 18.05858, 14005, 24932.6, 1557.58
 18.17741, 14005, 25008.59, 1560.6
 18.04587, 14005, 24985.2, 1565.17
 18.10953, 14005, 25625.69, 1562.11
 18.44496, 14005, 23601.98, 1567.35
 18.62415, 14005, 22882.85, 1567.49
 18.61155, 14005, 26316.92, 1561.63
 18.4742, 14005, 23878.88, 1558.25
 18.56034, 14005, 25107.97, 1566.19
 18.52935, 14005, 24188.01, 1555.24
 18.55529, 14005, 24634.61, 1563.21
 18.52315, 14005, 25493.99, 1555.07
 18.57707, 14005, 25742.79, 1556.47
 18.31861, 15015, 27799.59, 1539.67
 18.3474, 15015, 28709.18, 1546.23
 18.45181, 15015, 26818.42, 1551.48
 18.41627, 15015, 27584.94, 1548.24
 18.13377, 15015, 25178.13, 1549.13
 18.48747, 15015, 28844.72, 1551.69
 18.62992, 15015, 28567.77, 1545.73
 18.48861, 15015, 27893.71, 1552.81
 18.45236, 15015, 27226.51, 1546.63
 18.42956, 15015, 26830.18, 1545.8
 18.37666, 15015, 26797.91, 1550.21
 18.26635, 15015, 29024.54, 1547.41
 18.27552, 15015, 31093.31, 1544.37
 18.3794, 15015, 28226.18, 1541.73
 18.35373, 15015, 29413.95, 1542.25
 18.27118, 15015, 28405.76, 1546.6
 18.37943, 15015, 26721.61, 1544.22
 18.35659, 15015, 27070.84, 1545.25
 18.38123, 15015, 28871.25, 1547.93
 18.44671, 15015, 26231.91, 1553.21
 18.5345, 15015, 28290.93, 1548.01
 18.58225, 15015, 31259.23, 1543.04
 18.65007, 15015, 30587.09, 1549.93
 18.43114, 15015, 27773.1, 1550.19
 18.47149, 15015, 27626.1, 1544.74
 18.68447, 15015, 29915.93, 1537.37
 18.47491, 15015, 28555.97, 1546.46
 18.41123, 15015, 29278.21, 1545.39
 18.59828, 15015, 28794.64, 1539.03
 18.65831, 15015, 28455.83, 1538.53
 18.37374, 15015, 27658.43, 1550.42
 18.30939, 15015, 28679.71, 1545.31
 18.63001, 15015, 28084.91, 1540.69
 18.12398, 15015, 25974.1, 1562.04
 18.603, 15015, 26234.85, 1559.24
 18.62384, 15015, 26800.83, 1553.67
 18.54626, 15015, 28776.93, 1553.57
 18.37328, 15015, 25930.18, 1561.53
