date and time, temperature, pump cooler freq, concentration, light intensity
2023-06-20 12:08:21, 15.77061, 1, 19197.36, 1578.42
2023-06-20 12:08:31, 15.59825, 1, 16860.18, 1582.96
2023-06-20 12:08:41, 15.80844, 1, 18395.83, 1584.63
2023-06-20 12:08:51, 15.77055, 1, 18323.82, 1586.31
2023-06-20 12:09:01, 15.67575, 1, 18263.36, 1588.26
2023-06-20 12:09:11, 15.79645, 1, 17061.18, 1580.13
2023-06-20 12:09:22, 15.65848, 1, 18113.62, 1585.17
2023-06-20 12:09:32, 15.62398, 1, 16469.89, 1580.61
2023-06-20 12:09:42, 15.82397, 1, 19959.84, 1585.72
2023-06-20 12:09:52, 15.75334, 1, 17705.0, 1584.19
2023-06-20 12:10:02, 15.84458, 1, 20087.02, 1581.74
2023-06-20 12:10:12, 15.93417, 1, 18050.3, 1582.82
2023-06-20 12:10:22, 15.81365, 1, 18467.85, 1575.0
2023-06-20 12:10:32, 15.61544, 1, 19564.01, 1582.4
2023-06-20 12:10:42, 15.70153, 1, 19047.34, 1578.4
2023-06-20 12:10:52, 15.75339, 1, 20772.77, 1578.26
2023-06-20 12:11:02, 15.83088, 1, 18283.5, 1580.71
2023-06-20 12:11:12, 15.76192, 1, 18534.12, 1583.07
2023-06-20 12:11:22, 15.87387, 1, 18315.17, 1581.35
2023-06-20 12:11:32, 15.53778, 1, 19977.17, 1582.04
2023-06-20 12:11:42, 15.93068, 1, 19731.53, 1581.97
2023-06-20 12:11:52, 15.77057, 1, 18007.11, 1581.38
2023-06-20 12:12:02, 15.70162, 1, 17227.81, 1579.66
2023-06-20 12:12:12, 15.63272, 1, 19272.41, 1576.53
2023-06-20 12:12:22, 15.89105, 1, 19001.16, 1575.73
2023-06-20 12:12:32, 15.67561, 1, 17776.91, 1579.06
2023-06-20 12:12:42, 15.62394, 1, 19919.37, 1581.19
2023-06-20 12:12:52, 15.81369, 1, 17748.17, 1576.97
2023-06-20 12:13:02, 15.99447, 1, 18335.36, 1582.07
2023-06-20 12:13:12, 15.70143, 1, 18352.63, 1582.61
2023-06-20 12:13:22, 15.9601, 1, 18513.98, 1575.75
2023-06-20 12:13:32, 15.86352, 1, 17469.21, 1582.17
2023-06-20 12:13:42, 15.8754, 1, 16751.08, 1581.53
2023-06-20 12:13:52, 15.7757, 1, 16883.13, 1582.06
2023-06-20 12:14:02, 15.60671, 1, 18136.64, 1582.03
2023-06-20 12:14:12, 15.83091, 1, 17428.97, 1587.01
2023-06-20 12:14:22, 15.98418, 1, 15962.47, 1584.87
2023-06-20 12:14:32, 15.581, 1, 18609.05, 1587.05
2023-06-20 12:14:42, 16.09102, 1, 17549.72, 1582.45
2023-06-20 12:14:52, 15.86536, 1, 18104.97, 1582.64
2023-06-20 12:15:02, 15.95147, 1, 18508.19, 1585.08
2023-06-20 12:15:12, 15.69261, 1, 17474.99, 1582.5
